generic-id;generic-long-label
SEV01;2. Limitée (opérationnel : accès bloqués)
SEV02;3. Importante (droits fondamentaux / vie privée : discrimination)
SEV03;1. Minimale (image)
SEV04;2. Limitée (coût humain et financier)
SEV05;2. Limitée (droits fondamentaux / vie privée : biais, discrimination)
SEV06;2. Limitée (vie privée)
SEV07;3. Importante (sécurité : accès de personnes non autorisées)
SEV08;4. Maximale (droits fondamentaux / vie privée : usurpations, empreinte inutilisable à vie)
SEV09;3. Importante (sécurité : accès de personnes non autorisées, opérationnel : accès bloqués)
